M_,Nstars,Phi_Mean,Phi_Plus,Phi_Minus
13.75,18.0,0.78,0.30,0.24
14.25,52.7,2.95,0.60,0.53
14.75,21.2,2.80,0.93,0.76
15.25,8.6,1.93,1.06,0.78
15.75,2.5,3.09,3.63,2.02
16.25,1.2,3.75,7.23,3.04
16.75,0.6,2.59,8.44,2.42
17.25,0.9,2.78,6.62,2.41
17.75,1.9,13.75,19.33,9.77
